date,close,volume,open,high,low
17-01-2019,53.4,2092755,53.61,53.84,52.97
16-01-2019,53.64,1840893,54.55,54.76,53.62
15-01-2019,54.45,1508813,54.19,54.58,53.77
14-01-2019,54.04,1509594,53.34,54.48,53.18
11-01-2019,53.88,1498860,53.8,53.98,53.41
10-01-2019,54.07,1411588,53.25,54.17,53.08
09-01-2019,53.43,1401202,53.35,53.84,53.07
08-01-2019,53.13,2029379,52.35,53.19,52.09
07-01-2019,51.93,1928002,52.05,52.74,51.87
04-01-2019,52.23,2139227,51.25,52.32,51.02
03-01-2019,50.7,2075447,51.61,51.98,50.51
02-01-2019,51.87,2134312,51.46,52.138,51.41
31-12-2018,52.44,1318724,52.28,52.66,51.88
28-12-2018,52.01,1601937,52.11,52.74,51.445
27-12-2018,52,2819717,50.8,52,50.22
26-12-2018,51.56,2976360,49.08,51.59,48.93
24-12-2018,48.9,1679196,49.13,50.08,48.78
21-12-2018,49.21,5630538,51.06,51.52,49.18
20-12-2018,50.68,3280403,51.98,52.55,49.91
19-12-2018,52.07,2418642,53.08,53.42,51.8
18-12-2018,53.1,2322855,54.78,54.8,52.69
17-12-2018,54.3,2373306,55.56,55.94,53.98
14-12-2018,55.91,2445326,56.28,57.47,55.85
13-12-2018,56.77,2255972,56.17,56.98,56.17
12-12-2018,56.15,2043642,55.68,57.185,55.68
11-12-2018,54.97,3418736,55.02,55.36,53.96
10-12-2018,54.44,2619398,53.62,54.8,52.97
07-12-2018,53.73,2277122,54.54,55.16,53.5
06-12-2018,54.87,3063793,55.25,55.49,54.17
04-12-2018,56.12,1484853,58.22,58.37,55.93
03-12-2018,58.11,2321019,58.35,59.29,57.93
30-11-2018,57.91,2838684,57.6,58.24,57.16
29-11-2018,57.35,2255527,58.05,58.32,57.31
28-11-2018,58.4,1586985,57.93,58.48,56.92
27-11-2018,57.95,2057328,57.7,58.4,57.16
26-11-2018,57.93,1530953,57.37,57.985,57.01
23-11-2018,56.91,464947,56.25,57.31,56.21
21-11-2018,56.59,1194334,56.31,56.83,55.85
20-11-2018,56.29,1343534,56.14,56.57,55.72
19-11-2018,56.25,1754517,57.89,57.89,56.08
16-11-2018,57.89,1338543,57.04,58.31,55.99
15-11-2018,57.27,1208450,56.17,57.3825,55.7901
14-11-2018,56.5,1500592,56.75,57.02,56.23
13-11-2018,56.41,1338923,56.93,57.39,55.98
12-11-2018,56.76,1228106,57.4,57.76,56.66
09-11-2018,57.57,2314205,57.92,58.04,57.13
08-11-2018,58.05,1374460,58.45,58.9,57.985
07-11-2018,58.54,1428962,58.14,58.9,58
06-11-2018,57.6,1487602,56.54,57.61,56.4537
05-11-2018,56.65,1336303,56.91,57.49,56.42
02-11-2018,56.72,2346522,57.67,58.06,56.16
01-11-2018,57.44,2023438,57.24,58.26,57.222
31-10-2018,57.28,3539774,57.82,58.42,57.205
30-10-2018,57.45,4018547,58.68,59.34,57.03
29-10-2018,58.4,5701605,58.53,59.3176,57.88
26-10-2018,55.55,7645736,52.14,56.56,50.9132
25-10-2018,62.32,2065708,62.29,63.13,61.72
24-10-2018,61.82,2110537,63.31,63.88,61.7
23-10-2018,63.51,1719404,62.31,63.96,62.16
22-10-2018,62.98,1536946,62.96,63.69,62.7415
19-10-2018,62.98,2324351,63.16,63.79,62.67
18-10-2018,62.74,1814207,64.06,64.19,62.41
17-10-2018,64.23,1400364,64.3,64.33,62.8475
